class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor,,
2023201,PRO2315,Ergonomia I,Fausto Leopoldo Mascia,2023-08-07,2023-12-21,producao-manual,seg,18:50,20:30,Produção,FAU,,,"seg, 18:50-20:30"
2023201,PRO2514,Pesquisa Quantitativa em Gestão de Operações,Renato de Oliveira Moraes,2023-08-07,2023-12-21,producao-manual,sex,09:20,12:50 ,Produção,D2-114,2,,"sex, 09:20-12:50 "
2023201,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,S-04 - Eng. Civil,2,,"seg, 07:30-09:10 "
2023201,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,ter,07:30,11:00,Produção,S-04 - Eng. Civil,2,,"ter, 07:30-11:00"
2023202,PRO3200,Estatística,Daniel de Oliveira Mota,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,D1-02,1,,"seg, 07:30-09:10 "
2023202,PRO3200,Estatística,Daniel de Oliveira Mota,2023-08-07,2023-12-21,producao-manual,qui,07:30,09:10,Produção,D1-02,1,,"qui, 07:30-09:10"
2023203,PRO3200,Estatística,José Joaquim do Amaral Ferreira,2023-08-07,2023-12-21,producao-manual,ter,07:30,09:10,Produção,D2-015,2,,"ter, 07:30-09:10"
2023203,PRO3200,Estatística,José Joaquim do Amaral Ferreira,2023-08-07,2023-12-21,producao-manual,qua,07:30,09:10,Produção,D2-015,2,,"qua, 07:30-09:10"
2023204,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,qua,15:00,16:40,Produção,S-24 - Eng. Civil,2,,"qua, 15:00-16:40"
2023204,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,sex,15:00,16:40,Produção,S-24 - Eng. Civil,2,,"sex, 15:00-16:40"
2023205,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,producao-manual,seg,13:10,14:50 ,Produção,D1-02,1,,"seg, 13:10-14:50 "
2023205,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,producao-manual,qua,13:10,14:50,Produção,D1-02,1,,"qua, 13:10-14:50"
2023206,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,producao-manual,seg,15:00,16:40 ,Produção,D1-02,1,,"seg, 15:00-16:40 "
2023206,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,producao-manual,qua,15:00,16:40,Produção,D1-02,1,,"qua, 15:00-16:40"
2023207,PRO3200,Estatística,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,qua,07:30,09:10 ,Produção,D1-01,1,,"qua, 07:30-09:10 "
2023207,PRO3200,Estatística,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,sex,07:30,09:10,Produção,D1-01,1,,"sex, 07:30-09:10"
2023208,PRO3200,Estatística,José Joaquim do Amaral Ferreira,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,D2-015,2,,"seg, 07:30-09:10 "
2023208,PRO3200,Estatística,José Joaquim do Amaral Ferreira,2023-08-07,2023-12-21,producao-manual,qui,07:30,09:10,Produção,D2-015,2,,"qui, 07:30-09:10"
2023201,PRO3252,Automação e Controle,Marcelo Schneck de Paula Pessoa e,2023-08-07,2023-12-21,producao-manual,qui,07:30,11:00 ,Produção,D1-01,1,,"qui, 07:30-11:00 "
2023202,PRO3252,Automação e Controle,Mauro de Mesquita Spínola,2023-08-07,2023-12-21,producao-manual,qui,07:30,11:00 ,Produção,D1-01,1,,"qui, 07:30-11:00 "
2022201,PRO3330,Engenharia e Sociedade,Fausto Leopoldo Mascia,2023-08-07,2023-12-21,producao-manual,qui,13:10,16:40,Produção,D1-01,1,,"qui, 13:10-16:40"
2023201,PRO3331,Administração e Organização,Roberto Marx,2023-08-07,2023-12-21,producao-manual,ter,09:20,11:00,Produção,D1-02,1,,"ter, 09:20-11:00"
2023201,PRO3331,Administração e Organização,Roberto Marx,2023-08-07,2023-12-21,producao-manual,qui,09:20,11:00,Produção,D1-02,1,,"qui, 09:20-11:00"
2023201,PRO3342,Modelagem e Simulação de Sistemas de Produção,Marco Aurélio de Mesquita,2023-08-07,2023-12-21,producao-manual,qua,14:00,17:30,Produção,D2-014 / Ocean,2,,"qua, 14:00-17:30"
2023202,PRO3342,Modelagem e Simulação de Sistemas de Produção,Marco Aurélio de Mesquita,2023-08-07,2023-12-21,producao-manual,qui,14:00,17:30,Produção,D2-014 / Ocean,2,,"qui, 14:00-17:30"
2023201,PRO3362,Engenharia Econômica e Finanças,Erik Eduardo Rêgo,2023-08-07,2023-12-21,producao-manual,seg,13:10,14:50 ,Produção,D1-03,1,,"seg, 13:10-14:50 "
2023201,PRO3362,Engenharia Econômica e Finanças,Erik Eduardo Rêgo,2023-08-07,2023-12-21,producao-manual,qui,07:30,09:10,Produção,D1-03,1,,"qui, 07:30-09:10"
2023201,PRO3384,Finanças Quantitativas,Celma de Oliveira Ribeiro,2023-08-07,2023-12-21,producao-manual,ter,07:30,09:10,Produção,Ocean,1,,"ter, 07:30-09:10"
2023201,PRO3384,Finanças Quantitativas,Celma de Oliveira Ribeiro,2023-08-07,2023-12-21,producao-manual,qui,07:30,09:10,Produção,Ocean,1,,"qui, 07:30-09:10"
2023201,PRO3433,"Ergonomia, Saúde e Segurança no Trabalho",Fausto Leopoldo Mascia,2023-08-07,2023-12-21,producao-manual,ter,07:30,11:00,Produção,D1-01,1,,"ter, 07:30-11:00"
2023201,PRO3444,Gestão de Operações de Manufatura,Dario Ikuo Miyake e,2023-08-07,2023-12-21,producao-manual,sex,07:30,11:00,Produção,D1-02,1,,"sex, 07:30-11:00"
2023202,PRO3444,Gestão de Operações de Manufatura,Paulino Graciano Francischini,2023-08-07,2023-12-21,producao-manual,sex,07:30,11:00,Produção,D1-03,1,,"sex, 07:30-11:00"
2023201,PRO3446,Logística e Cadeias de Suprimento,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00 ,Produção,D1-01,1,,"seg, 09:20-11:00 "
2023201,PRO3446,Logística e Cadeias de Suprimento,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,qua,09:20,11:00,Produção,D1-01,1,,"qua, 09:20-11:00"
2023202,PRO3446,Logística e Cadeias de Suprimento,Hugo Tsugunobu Yoshida Yoshizaki,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00,Produção,D1-03,1,,"seg, 09:20-11:00"
2023202,PRO3446,Logística e Cadeias de Suprimento,Hugo Tsugunobu Yoshida Yoshizaki,2023-08-07,2023-12-21,producao-manual,qua,09:20,11:00,Produção,D1-03,1,,"qua, 09:20-11:00"
2023201,PRO3472,Gestão da Qualidade de Produtos e Processos,Fernando Tobal Berssaneti,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00 ,Produção,D1-02,1,,"seg, 09:20-11:00 "
2023201,PRO3472,Gestão da Qualidade de Produtos e Processos,Fernando Tobal Berssaneti,2023-08-07,2023-12-21,producao-manual, ter,07:30,09:10,Produção,D1-02,1,," ter, 07:30-09:10"
2023201,PRO3474,Projeto do Produto e Processo,Clóvis Armando Alvarenga Netto,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,ON,1,,"seg, 07:30-09:10 "
2023201,PRO3474,Projeto do Produto e Processo,Clóvis Armando Alvarenga Netto,2023-08-07,2023-12-21,producao-manual,qua,07:30,09:10,Produção,ON,1,,"qua, 07:30-09:10"
2023201,PRO3480,Gestão Integrada de Cidades Inteligentes ,Marcelo Schneck de Paula Pessoa,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00 ,Produção,D2-015,2,,"seg, 09:20-11:00 "
2023201,PRO3483,Gestão Estratégica da Produção,Fernando José Barbin Laurindo,2023-08-07,2023-12-21,producao-manual,qui,07:30,11:00,Produção,D2-013,2,,"qui, 07:30-11:00"
2023201,PRO3518,Técnicas de Otimização Discreta para Problemas de Engenharia,Débora Pretti Ronconi,2023-08-07,2023-12-21,producao-manual,ter,11:10,12:50,Produção,D2-013,2,,"ter, 11:10-12:50"
2023201,PRO3518,Técnicas de Otimização Discreta para Problemas de Engenharia,Débora Pretti Ronconi,2023-08-07,2023-12-21,producao-manual,qui,11:10,12:50,Produção,D2-013,2,,"qui, 11:10-12:50"
2023201,PRO3525,Modelagem e Otimização sob Incerteza,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,qua,11:10,12:50,Produção,D2-014,2,,"qua, 11:10-12:50"
2023201,PRO3530,Fundamentos de Prática de Pesquisa em Modelagem de Dados e da Decisão,Leonardo Junqueira,2023-08-07,2023-12-21,producao-manual,sex,11:10,12:50,Produção,D2-014,2,,"sex, 11:10-12:50"
2023201,PRO3553,Gestão da Tecnologia da Informação,Fernando José Barbin Laurindo,2023-08-07,2023-12-21,producao-manual,ter,07:30,11:00,Produção,D1-03,1,,"ter, 07:30-11:00"
2023201,PRO3564,Princípios de Marketing para a Engenharia de Produção,Davi Noboru Nakano,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10,Produção,D1-01,1,,"seg, 07:30-09:10"
2023201,PRO3565,Produção e Sustentabilidade,João Amato Neto,2023-08-07,2023-12-21,producao-manual,qui,07:30,11:00,Produção,ON,1,,"qui, 07:30-11:00"
2023201,PRO3585,Engenharia de Projetos Complexos do Desenvolvimento Brasileiro,Roberto Marx,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00,Produção,D2-013,2,,"seg, 09:20-11:00"
2023202,PRO3585,Engenharia de Projetos Complexos do Desenvolvimento Brasileiro,Mauro Zilbovicius,2023-08-07,2023-12-21,producao-manual,seg,09:20,11:00,Produção,D2-014 ,2,,"seg, 09:20-11:00"
2023201,PRO3588,"Inovação, Empreendedorismo e Gestão de Serviços em Saúde",Clóvis Armando Alvarenga Netto,2023-08-07,2023-12-21,producao-manual,ter,11:10,12:50,Produção,ON,1,,"ter, 11:10-12:50"
2023201,PRO3610,Métodos e Meios de Produção,Fausto Leopoldo Mascia,2023-08-07,2023-12-21,producao-manual,ter,18:50,22:30,Produção,FAU,,,"ter, 18:50-22:30"
2023201,PRO3810,Introdução à Administração,Ana Paula Franco Paes Leme Barbosa,2023-08-07,2023-12-21,producao-manual,ter,13:10,14:50,Produção,D1-03,1,,"ter, 13:10-14:50"
2023201,PRO3810,Introdução à Administração,Mauro de Mesquita Spínola e,2023-08-07,2023-12-21,producao-manual,sex,15:00,16:40,Produção,D1-03,1,,"sex, 15:00-16:40"
2023202,PRO3810,Introdução à Administração,Artur Tavares Vilas Boas Ribeiro,2023-08-07,2023-12-21,producao-manual,seg,15:00,16:40 ,Produção,D2-014,2,,"seg, 15:00-16:40 "
2023202,PRO3810,Introdução à Administração,Artur Tavares Vilas Boas Ribeiro,2023-08-07,2023-12-21,producao-manual,qui,07:30,09:10,Produção,D2-014,2,,"qui, 07:30-09:10"
2023203,PRO3810,Introdução à Administração,Ana Paula Franco Paes Leme Barbosa,2023-08-07,2023-12-21,producao-manual,qui,16:50,18:30 ,Produção,D1-03,1,,"qui, 16:50-18:30 "
2023203,PRO3810,Introdução à Administração,Mauro de Mesquita Spínola e,2023-08-07,2023-12-21,producao-manual,sex,13:10,14:50,Produção,D1-03,1,,"sex, 13:10-14:50"
2023201,PRO3811,Fundamentos de Administração,Artur Tavares Vilas Boas Ribeiro,2023-08-07,2023-12-21,producao-manual,ter,11:10,12:50,Produção,D1-02,1,,"ter, 11:10-12:50"
2023202,PRO3811,Fundamentos de Administração,"Ana Paula F. P. Leme Barbosa, Davi N. Nakano e Fernando T. Berssaneti",2023-08-07,2023-12-21,producao-manual,qua,15:00,16:40,Produção,D1-01,1,,"qua, 15:00-16:40"
2023203,PRO3811,Fundamentos de Administração,Ana Cristina Limongi França,2023-08-07,2023-12-21,producao-manual,sex,16:00,17:40,Produção,D1-01,1,,"sex, 16:00-17:40"
2023205,PRO3811,Fundamentos de Administração,Ana Cristina Limongi França,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,D2-014,2,,"seg, 07:30-09:10 "
2023201,PRO3820,Introdução à Economia,João Eduardo de Morais Pinto Furtado,2023-08-07,2023-12-21,producao-manual,seg,13:10,14:50 ,Produção,D2-013,2,,"seg, 13:10-14:50 "
2023201,PRO3820,Introdução à Economia,João Eduardo de Morais Pinto Furtado,2023-08-07,2023-12-21,producao-manual,qua,15:00,16:40,Produção,D2-013,2,,"qua, 15:00-16:40"
2023202,PRO3820,Introdução à Economia,João Eduardo de Morais Pinto Furtado,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,D2-013,2,,"seg, 07:30-09:10 "
2023202,PRO3820,Introdução à Economia,João Eduardo de Morais Pinto Furtado,2023-08-07,2023-12-21,producao-manual,qua,07:30,09:10,Produção,D2-013,2,,"qua, 07:30-09:10"
2023201,PRO3821,Fundamentos de Economia,Erik Eduardo Rêgo,2023-08-07,2023-12-21,producao-manual,qui,13:10,14:50,Produção,D1-03,1,,"qui, 13:10-14:50"
2023202,PRO3821,Fundamentos de Economia,Roberta de Castro Souza Piao,2023-08-07,2023-12-21,producao-manual,qui,13:10,14:50,Produção,D2-015,2,,"qui, 13:10-14:50"
2023203,PRO3821,Fundamentos de Economia,João Amato Neto,2023-08-07,2023-12-21,producao-manual,qui,13:10,14:50,Produção,D1-02,1,,"qui, 13:10-14:50"
2023204,PRO3821,Fundamentos de Economia,Davi Noboru Nakano,2023-08-07,2023-12-21,producao-manual,sex,11:10,12:50,Produção,D1-01,1,,"sex, 11:10-12:50"
2023201,PRO3850,Introdução à Gestão da Produção,Dario Ikuo Miyake,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10,Produção,D1-03,1,,"seg, 07:30-09:10"
2023201,PRO3850,Introdução à Gestão da Produção,Dario Ikuo Miyake,2023-08-07,2023-12-21,producao-manual,qui,09:20,11:00,Produção,D1-03,1,,"qui, 09:20-11:00"
2023201,PRO3861,Fundamentos de Gestão de Projetos,Renato de Oliveira Moraes,2023-08-07,2023-12-21,producao-manual,sex,07:30,09:10,Produção,D2-013,2,,"sex, 07:30-09:10"