class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor,,,,,,,,,,,
1,PEA3301,Introdução aos Sistemas de Potência,Silvio Giuseppe Di Santo,2023-03-13,2023-07-15,,terça-feira,07:30,09:10,Elétrica,D1-01,,,,,,,,,,,,
1,PEA3301,Introdução aos Sistemas de Potência,Silvio Giuseppe Di Santo,2023-03-13,2023-07-15,,sexta-feira,11:10,12:50,Elétrica,D1-01,,,,,,,,,,,,
2,PEA3301,Introdução aos Sistemas de Potência,Carlos Eduardo de Morais Pereira,2023-03-13,2023-07-15,,terça-feira,07:30,09:10,Elétrica,D1-02,,,,,,,,,,,,
2,PEA3301,Introdução aos Sistemas de Potência,Carlos Eduardo de Morais Pereira,2023-03-13,2023-07-15,,sexta-feira,11:10,12:50,Elétrica,D1-02,,,,,,,,,,,,
3,PEA3301,Introdução aos Sistemas de Potência,Giovanni Manassero Junior,2023-03-13,2023-07-15,,terça-feira,07:30,09:10,Elétrica,D1-03,,,,,,,,,,,,
3,PEA3301,Introdução aos Sistemas de Potência,Giovanni Manassero Junior,2023-03-13,2023-07-15,,sexta-feira,11:10,12:50,Elétrica,D1-03,,,,,,,,,,,,
4,PEA3301,Introdução aos Sistemas de Potência,Eduardo Lorenzetti Pellini,2023-03-13,2023-07-15,,terça-feira,07:30,09:10,Elétrica,D1-04,,,,,,,,,,,,
4,PEA3301,Introdução aos Sistemas de Potência,Eduardo Lorenzetti Pellini,2023-03-13,2023-07-15,,sexta-feira,11:10,12:50,Elétrica,D1-04,,,,,,,,,,,,
1,PEA3306,Conversão Eletromecânica de Energia,Viviane Cristine Silva,2023-03-13,2023-07-15,,terça-feira,11:10,12:50,Elétrica,D1-01,,,,,,,,,,,,
1,PEA3306,Conversão Eletromecânica de Energia,Viviane Cristine Silva,2023-03-13,2023-07-15,,sexta-feira,09:20,11:00,Elétrica,D1-01,,,,,,,,,,,,
2,PEA3306,Conversão Eletromecânica de Energia,Luiz Lebensztajn,2023-03-13,2023-07-15,,terça-feira,11:10,12:50,Elétrica,D1-02,,,,,,,,,,,,
2,PEA3306,Conversão Eletromecânica de Energia,Luiz Lebensztajn,2023-03-13,2023-07-15,,sexta-feira,09:20,11:00,Elétrica,D1-02,,,,,,,,,,,,
3,PEA3306,Conversão Eletromecânica de Energia,Luiz Natal Rossi,2023-03-13,2023-07-15,,terça-feira,11:10,12:50,Elétrica,D1-03,,,,,,,,,,,,
3,PEA3306,Conversão Eletromecânica de Energia,Luiz Natal Rossi,2023-03-13,2023-07-15,,sexta-feira,09:20,11:00,Elétrica,D1-03,,,,,,,,,,,,
1,PEA3311,Laboratório de Conversão Eletromecânica de Energia,,2023-03-13,2023-07-15,,quinta-feira,09:20,12:00,Elétrica,A1-33,,,,,,,,,,,,
2,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Alberto Bianchi Junior,2023-03-13,2023-07-15,,quinta-feira,09:20,12:00,Elétrica,A1-37,,,,,,,,,,,,
3,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Maurício Barbosa de Camargo Salles,2023-03-13,2023-07-15,,terça-feira,15:00,17:40,Elétrica,A1-33,,,,,,,,,,,,
4,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Cicero Couto de Moraes,2023-03-13,2023-07-15,,terça-feira,15:00,17:40,Elétrica,A1-37,,,,,,,,,,,,
5,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Ivan Eduardo Chabu,2023-03-13,2023-07-15,,quarta-feira,15:00,17:40,Elétrica,A1-33,,,,,,,,,,,,
6,PEA3311,Laboratório de Conversão Eletromecânica de Energia,,2023-03-13,2023-07-15,,quarta-feira,15:00,17:40,Elétrica,A1-37,,,,,,,,,,,,
7,PEA3311,Laboratório de Conversão Eletromecânica de Energia,,2023-03-13,2023-07-15,,quinta-feira,15:00,17:40,Elétrica,A1-33,,,,,,,,,,,,
8,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Maurício Barbosa de Camargo Salles,2023-03-13,2023-07-15,,quinta-feira,15:00,17:40,Elétrica,A1-33,,,,,,,,,,,,
9,PEA3311,Laboratório de Conversão Eletromecânica de Energia,Maurício Barbosa de Camargo Salles,2023-03-13,2023-07-15,,sexta-feira,15:00,17:40,Elétrica,A1-33,,,,,,,,,,,,
1,PEA3345,Introdução a Eletrotécnica Geral,Josemir Coelho Santos,2023-03-13,2023-07-15,,sexta-feira,13:10,15:50,,GD-05,,,,,,,,,,,,
1,PEA3388,Eletricidade Geral IV,Renato Machado Monaro,2023-03-13,2023-07-15,,terça-feira,07:30,09:10,Elétrica,C1-30,,,,,,,,,,,,
1,PEA3388,Eletricidade Geral IV,Renato Machado Monaro,2023-03-13,2023-07-15,,quarta-feira,09:20,11:00,Elétrica,C1-30,1,PEA3388,Eletricidade Geral IV,Renato Machado Monaro,2023-03-13,2023-07-15,,terça-feira,07:30,09:10,Elétrica,C1-30